Depuis,Vers,Chargement,Masse,Distance planifiée,Distance acceptée,Bénéfice,Amendes,XP,Dommages,Camion,Plaque d'immatriculation du camion,Consommation moyenne,Ravitaillé,Coût du carburant,Vitesse maximale atteinte,Type de mission,Répartir,TrucksBookID,Description,Date,Temps,City_from,Latitude_from,Longitude_from,City_to,Latitude_to,Longitude_to
Salzburg,Frankfurt,Chariots élévateurs,11230,516,517,27963,400,934,0,Renault T,AQ-757-SJ,31.1,0,0,89,Livraison standard,Non,45177482,,2023-10-01,18:35,Salzburg,47.7981346,13.0464806,Frankfurt,50.1106444,8.6820917
Frankfurt,Dresden,Pommes,9168,407,490,8139,0,748,0,Renault T,AQ-757-SJ,32.9,247,539,89,Livraison standard,Non,45205352,,2023-10-02,22:40,Frankfurt,50.1106444,8.6820917,Dresden,51.0493286,13.7381437
Erfurt,Łódź,Bulldozer - Z35K,39010,650,666,32056,400,905,0,Renault T,AQ-757-SJ,58.6,466,773,84,Livraison standard,Non,45264500,,2023-10-05,22:36,Erfurt,50.9777974,11.0287364,Łódź,51.7728245,19.478485931307937
Łódź,Hamburg,Emballages en plastique,7153,673,671,17333,0,878,0,Renault T,AQ-757-SJ,29.8,0,0,87,Livraison standard,Non,45334449,,2023-10-08,22:40,Łódź,51.7728245,19.478485931307937,Hamburg,53.550341,10.000654
Lyon,Rotterdam,Barres d'armature,24380,874,873,40223,820,1319,0,Volvo FH,BN-046-VQ,43.0,339,739,92,Livraison standard,Non,45441589,,2023-10-14,18:32,Lyon,45.7578137,4.8320114,Rotterdam,51.9244424,4.47775
Lyon,Prishtinë,Emballage utilisé,20252,2008,2001,83052,1500,3005,0,Volvo FH,BN-046-VQ,40.7,1870,3187,91,Livraison standard,Non,45696990,,2023-10-23,22:47,Lyon,45.7578137,4.8320114,Prishtinë,42.6638771,21.1640849
Prishtinë,Бијело Поље (Bijelo Polje),Beurre de cacahuète,19539,279,284,11376,400,458,0,Volvo FH,BN-046-VQ,61.3,0,0,84,Livraison standard,Non,45732493,,2023-10-24,22:59,Prishtinë,42.6638771,21.1640849,Бијело Поље (Bijelo Polje),43.0341595,19.7473559
Бијело Поље (Bijelo Polje),Tirana,Bière sans alcool,22156,288,289,13400,0,473,0,Volvo FH,BN-046-VQ,51.9,553,1012,88,Livraison standard,Non,45803352,,2023-10-26,22:35,Бијело Поље (Bijelo Polje),43.0341595,19.7473559,Tirana,41.3281482,19.8184435
Tirana,Vlorë,Câbles haute tension,21480,138,140,7320,0,223,0,Volvo FH,BN-046-VQ,47.9,0,0,88,Livraison standard,Non,45916393,,2023-10-29,22:38,Tirana,41.3281482,19.8184435,Vlorë,40.4707602,19.4912716
